Problema,Estrategia,n,K,m,z,S,CPU,nodos_generados
max_div_15_3.txt,GreatterZ,15,3,2,13.2732,(0.300000 0.920000 4.230000)(9.880000 9.880000 6.260000),0.001338,30
max_div_15_3.txt,Deeper,15,3,2,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.001033,30
max_div_15_3.txt,GreatterZ,15,3,3,31.8685,(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000)(1.710000 1.950000 9.220000),0.003594,43
max_div_15_3.txt,Deeper,15,3,3,31.8685,(1.710000 1.950000 9.220000)(5.170000 1.390000 0.910000)(9.880000 9.880000 6.260000),0.003097,43
max_div_15_3.txt,GreatterZ,15,3,4,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.008008,55
max_div_15_3.txt,Deeper,15,3,4,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.007244,55
max_div_15_3.txt,GreatterZ,15,3,5,96.0858,(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(0.300000 0.920000 4.230000)(1.150000 9.210000 3.110000)(1.710000 1.950000 9.220000),0.015519,66
max_div_15_3.txt,Deeper,15,3,5,96.0858,(9.880000 9.880000 6.260000)(1.710000 1.950000 9.220000)(9.470000 3.560000 1.830000)(1.150000 9.210000 3.110000)(0.300000 0.920000 4.230000),0.019219,102
max_div_15_3.txt,GreatterZ,15,3,6,138.157,(9.880000 9.880000 6.260000)(1.710000 1.950000 9.220000)(0.300000 0.920000 4.230000)(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(1.150000 9.210000 3.110000),0.026888,76
max_div_15_3.txt,Deeper,15,3,6,138.157,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(9.470000 3.560000 1.830000)(9.880000 9.880000 6.260000)(1.150000 9.210000 3.110000),0.025989,76
max_div_30_2.txt,GreatterZ,30,2,2,11.6571,(2.070000 0.270000)(9.840000 8.960000),0.004099,60
max_div_30_2.txt,Deeper,30,2,2,11.6571,(9.840000 8.960000)(2.070000 0.270000),0.00356,60
max_div_30_2.txt,GreatterZ,30,2,3,28.9443,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000),0.012104,88
max_div_30_2.txt,Deeper,30,2,3,28.9443,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000),0.01078,88
max_div_30_2.txt,GreatterZ,30,2,4,52.7712,(2.070000 0.270000)(1.910000 9.600000)(9.840000 8.960000)(8.000000 1.530000),0.029004,115
max_div_30_2.txt,Deeper,30,2,4,52.7712,(1.910000 9.600000)(2.070000 0.270000)(9.840000 8.960000)(8.000000 1.530000),0.026651,115
max_div_30_2.txt,GreatterZ,30,2,5,81.2029,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(2.070000 0.270000)(9.840000 8.960000),0.059219,141
max_div_30_2.txt,Deeper,30,2,5,81.2029,(2.070000 0.270000)(9.840000 8.960000)(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000),0.055782,141
max_div_30_2.txt,GreatterZ,30,2,6,118.992,(9.840000 8.960000)(0.650000 3.260000)(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000)(8.000000 1.530000),0.108577,166
max_div_30_2.txt,Deeper,30,2,6,118.992,(1.910000 9.600000)(8.000000 1.530000)(9.840000 8.960000)(0.650000 3.260000)(2.070000 0.270000)(9.840000 8.960000),0.104911,166
