Problema,Estrategia,n,K,m,z,S,CPU,nodos_generados
max_div_15_3.txt,SmallestZ,15,3,2,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.001601,30
max_div_15_3.txt,Deeper,15,3,2,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.001434,30
max_div_15_3.txt,SmallestZ,15,3,3,31.8685,(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000)(1.710000 1.950000 9.220000),0.004622,43
max_div_15_3.txt,Deeper,15,3,3,31.8685,(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000)(1.710000 1.950000 9.220000),0.003963,43
max_div_15_3.txt,SmallestZ,15,3,4,59.7638,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000),0.010653,55
max_div_15_3.txt,Deeper,15,3,4,59.7638,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000),0.014528,94
max_div_15_3.txt,SmallestZ,15,3,5,96.0858,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(1.150000 9.210000 3.110000)(9.470000 3.560000 1.830000),0.018537,66
max_div_15_3.txt,Deeper,15,3,5,96.0858,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(1.150000 9.210000 3.110000)(9.470000 3.560000 1.830000),0.024377,102
max_div_15_3.txt,SmallestZ,15,3,6,138.157,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(1.150000 9.210000 3.110000),0.033283,76
max_div_15_3.txt,Deeper,15,3,6,138.157,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(1.150000 9.210000 3.110000),0.031569,76
max_div_30_2.txt,SmallestZ,30,2,2,11.6571,(9.840000 8.960000)(2.070000 0.270000),0.005497,60
max_div_30_2.txt,Deeper,30,2,2,11.6571,(9.840000 8.960000)(2.070000 0.270000),0.004351,60
max_div_30_2.txt,SmallestZ,30,2,3,28.9443,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000),0.017618,88
max_div_30_2.txt,Deeper,30,2,3,28.9443,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000),0.022308,145
max_div_30_2.txt,SmallestZ,30,2,4,52.7712,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000),0.038926,115
max_div_30_2.txt,Deeper,30,2,4,52.7712,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000),0.040636,115
max_div_30_2.txt,SmallestZ,30,2,5,80.9102,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000)(0.650000 3.260000),0.331206,604
max_div_30_2.txt,Deeper,30,2,5,80.9102,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000)(0.650000 3.260000),0.494839,1324
max_div_30_2.txt,SmallestZ,30,2,6,118.992,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000)(0.650000 3.260000)(9.840000 8.960000),0.357318,436
max_div_30_2.txt,Deeper,30,2,6,118.992,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000)(0.650000 3.260000)(9.840000 8.960000),0.355808,436
max_div_20_3.txt,SmallestZ,20,3,2,11.8003,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000),0.002203,40
max_div_20_3.txt,Deeper,20,3,2,11.8003,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000),0.002014,40
max_div_20_3.txt,SmallestZ,20,3,3,30.8727,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000),0.008099,58
max_div_20_3.txt,Deeper,20,3,3,30.8727,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000),0.006943,58
max_div_20_3.txt,SmallestZ,20,3,4,56.6903,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.017781,75
max_div_20_3.txt,Deeper,20,3,4,56.6903,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.017333,75
max_div_20_3.txt,SmallestZ,20,3,5,92.8297,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(0.830000 7.060000 3.340000)(9.600000 2.020000 9.000000),0.110662,301
max_div_20_3.txt,Deeper,20,3,5,92.8297,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(0.830000 7.060000 3.340000)(9.600000 2.020000 9.000000),0.204769,786
max_div_20_3.txt,SmallestZ,20,3,6,131.49,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(0.830000 7.060000 3.340000)(9.600000 2.020000 9.000000)(8.020000 0.120000 3.560000),0.185971,323
max_div_20_3.txt,Deeper,20,3,6,131.49,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(0.830000 7.060000 3.340000)(9.600000 2.020000 9.000000)(8.020000 0.120000 3.560000),0.443158,951
max_div_20_2.txt,SmallestZ,20,2,2,8.51033,(0.630000 5.960000)(8.670000 3.170000),0.002896,40
max_div_20_2.txt,Deeper,20,2,2,8.51033,(0.630000 5.960000)(8.670000 3.170000),0.002376,40
max_div_20_2.txt,SmallestZ,20,2,3,21.9961,(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000),0.007761,58
max_div_20_2.txt,Deeper,20,2,3,21.9961,(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000),0.010096,95
max_div_20_2.txt,SmallestZ,20,2,4,40.0023,(3.470000 9.430000)(8.670000 3.170000)(8.570000 8.360000)(1.160000 4.470000),0.017491,75
max_div_20_2.txt,Deeper,20,2,4,40.0023,(3.470000 9.430000)(8.670000 3.170000)(8.570000 8.360000)(1.160000 4.470000),0.016527,75
max_div_20_2.txt,SmallestZ,20,2,5,63.6517,(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000)(1.970000 3.500000)(3.470000 9.430000),0.034498,91
max_div_20_2.txt,Deeper,20,2,5,63.6517,(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000)(1.970000 3.500000)(3.470000 9.430000),0.032863,91
max_div_20_2.txt,SmallestZ,20,2,6,92.3339,(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000)(3.470000 9.430000)(8.670000 3.170000)(1.160000 4.470000),0.063727,106
max_div_20_2.txt,Deeper,20,2,6,92.3339,(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000)(3.470000 9.430000)(8.670000 3.170000)(1.160000 4.470000),0.060988,106
max_div_15_2.txt,SmallestZ,15,2,2,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.001316,30
max_div_15_2.txt,Deeper,15,2,2,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.001186,30
max_div_15_2.txt,SmallestZ,15,2,3,27.3727,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000),0.004602,43
max_div_15_2.txt,Deeper,15,2,3,27.3727,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000),0.003891,43
max_div_15_2.txt,SmallestZ,15,2,4,49.8268,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.160000 4.620000),0.009914,55
max_div_15_2.txt,Deeper,15,2,4,49.8268,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.160000 4.620000),0.014268,94
max_div_15_2.txt,SmallestZ,15,2,5,79.1295,(8.650000 9.980000)(0.160000 4.620000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000),0.017492,66
max_div_15_2.txt,Deeper,15,2,5,79.1295,(8.650000 9.980000)(0.160000 4.620000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000),0.017039,66
max_div_15_2.txt,SmallestZ,15,2,6,115.428,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000)(1.350000 7.110000),0.034535,76
max_div_15_2.txt,Deeper,15,2,6,115.428,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000)(1.350000 7.110000),0.033949,76
max_div_30_3.txt,SmallestZ,30,3,2,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.005894,60
max_div_30_3.txt,Deeper,30,3,2,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.004804,60
max_div_30_3.txt,SmallestZ,30,3,3,34.2905,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000),0.016732,88
max_div_30_3.txt,Deeper,30,3,3,34.2905,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000),0.01846,88
max_div_30_3.txt,SmallestZ,30,3,4,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.044686,115
max_div_30_3.txt,Deeper,30,3,4,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.040006,115
max_div_30_3.txt,SmallestZ,30,3,5,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.08686,141
max_div_30_3.txt,Deeper,30,3,5,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.077868,141
max_div_30_3.txt,SmallestZ,30,3,6,143.829,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(9.990000 4.400000 9.760000)(8.060000 9.590000 0.270000),0.149797,166
max_div_30_3.txt,Deeper,30,3,6,143.829,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(9.990000 4.400000 9.760000)(8.060000 9.590000 0.270000),0.154127,166
