Problema,n,K,m,Iter,|LRC|,z0,z,S,CPU
max_div_15_3.txt,15,3,2,10,2,11.7642,13.2732,(0.300000 0.920000 4.230000)(9.880000 9.880000 6.260000),0.00084
max_div_15_3.txt,15,3,2,10,3,11.7642,13.2732,(0.300000 0.920000 4.230000)(9.880000 9.880000 6.260000),0.000702
max_div_15_3.txt,15,3,2,20,2,11.7642,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.000661
max_div_15_3.txt,15,3,2,20,3,9.98039,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.000967
max_div_15_3.txt,15,3,3,10,2,30.3241,31.8685,(1.710000 1.950000 9.220000)(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000),0.001424
max_div_15_3.txt,15,3,3,10,3,30.0958,31.8685,(1.710000 1.950000 9.220000)(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000),0.001405
max_div_15_3.txt,15,3,3,20,2,30.3241,31.8685,(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000)(1.710000 1.950000 9.220000),0.001632
max_div_15_3.txt,15,3,3,20,3,31.8685,31.8685,(1.710000 1.950000 9.220000)(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000),0.001024
max_div_15_3.txt,15,3,4,10,2,59.7638,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.003415
max_div_15_3.txt,15,3,4,10,3,58.3957,59.7638,(1.710000 1.950000 9.220000)(9.880000 9.880000 6.260000)(6.650000 9.450000 1.020000)(0.300000 0.920000 4.230000),0.002504
max_div_15_3.txt,15,3,4,20,2,55.8119,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.002178
max_div_15_3.txt,15,3,4,20,3,58.3957,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.002148
max_div_15_3.txt,15,3,5,10,2,94.7487,96.0858,(1.710000 1.950000 9.220000)(1.150000 9.210000 3.110000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(9.470000 3.560000 1.830000),0.004326
max_div_15_3.txt,15,3,5,10,3,93.9763,96.0858,(9.880000 9.880000 6.260000)(1.710000 1.950000 9.220000)(9.470000 3.560000 1.830000)(0.300000 0.920000 4.230000)(1.150000 9.210000 3.110000),0.005253
max_div_15_3.txt,15,3,5,20,2,88.1045,96.0858,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000)(1.150000 9.210000 3.110000)(1.710000 1.950000 9.220000)(9.470000 3.560000 1.830000),0.005241
max_div_15_3.txt,15,3,5,20,3,87.8799,96.0858,(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(0.300000 0.920000 4.230000)(1.150000 9.210000 3.110000)(1.710000 1.950000 9.220000),0.005341
max_div_30_2.txt,30,2,2,10,2,9.97562,11.6571,(2.070000 0.270000)(9.840000 8.960000),0.000807
max_div_30_2.txt,30,2,2,10,3,11.6571,11.6571,(9.840000 8.960000)(2.070000 0.270000),0.00064
max_div_30_2.txt,30,2,2,20,2,11.6571,11.6571,(9.840000 8.960000)(2.070000 0.270000),0.000691
max_div_30_2.txt,30,2,2,20,3,10.8142,11.6571,(9.840000 8.960000)(2.070000 0.270000),0.000831
max_div_30_2.txt,30,2,3,10,2,23.3746,28.9443,(2.070000 0.270000)(1.910000 9.600000)(9.840000 8.960000),0.001871
max_div_30_2.txt,30,2,3,10,3,24.6122,28.9443,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000),0.002825
max_div_30_2.txt,30,2,3,20,2,28.9443,28.9443,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000),0.001015
max_div_30_2.txt,30,2,3,20,3,28.023,28.9443,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000),0.001631
max_div_30_2.txt,30,2,4,10,2,48.6309,52.7712,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000)(8.000000 1.530000),0.003064
max_div_30_2.txt,30,2,4,10,3,46.7801,52.7712,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(8.000000 1.530000),0.005214
max_div_30_2.txt,30,2,4,20,2,49.1809,52.7712,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000)(8.000000 1.530000),0.004371
max_div_30_2.txt,30,2,4,20,3,42.3323,52.7712,(2.070000 0.270000)(1.910000 9.600000)(9.840000 8.960000)(8.000000 1.530000),0.006761
max_div_30_2.txt,30,2,5,10,2,76.3039,81.2029,(2.070000 0.270000)(9.840000 8.960000)(1.910000 9.600000)(9.840000 8.960000)(2.070000 0.270000),0.009688
max_div_30_2.txt,30,2,5,10,3,71.5739,81.2029,(1.910000 9.600000)(2.070000 0.270000)(2.070000 0.270000)(9.840000 8.960000)(9.840000 8.960000),0.009977
max_div_30_2.txt,30,2,5,20,2,76.0695,81.2029,(9.840000 8.960000)(2.070000 0.270000)(1.910000 9.600000)(2.070000 0.270000)(9.840000 8.960000),0.012754
max_div_30_2.txt,30,2,5,20,3,71.1043,81.2029,(1.910000 9.600000)(9.840000 8.960000)(2.070000 0.270000)(9.840000 8.960000)(2.070000 0.270000),0.01365
max_div_20_3.txt,20,3,2,10,2,10.8665,11.8003,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000),0.000815
max_div_20_3.txt,20,3,2,10,3,10.7295,11.8003,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000),0.000779
max_div_20_3.txt,20,3,2,20,2,11.8003,11.8003,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000),0.000555
max_div_20_3.txt,20,3,2,20,3,10.7295,11.8003,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000),0.000786
max_div_20_3.txt,20,3,3,10,2,30.0044,30.8727,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(8.870000 9.560000 5.340000),0.00186
max_div_20_3.txt,20,3,3,10,3,29.7909,30.8727,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(8.870000 9.560000 5.340000),0.00173
max_div_20_3.txt,20,3,3,20,2,30.8727,30.8727,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(8.870000 9.560000 5.340000),0.000992
max_div_20_3.txt,20,3,3,20,3,26.705,30.8727,(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(9.810000 2.050000 1.830000),0.002664
